med_id,generic_name,resolution,current_source_count,local_support_count,existing_medcalc_verified,dailymed_v3_confirmed,openfda_v4_confirmed,local_renal_biblio_2025,local_ajuste_renal_csv,v2_reason,v4_reason,next_action
MED-0036,ACIDO URSODESOXICOLICO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0038,ÁCIDOS OMEGA 3 ETIL ESTER 84%(EQUIVALENTE A 465 MG DE ÁCIDO EIC...,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0040,AGOMELATINA,UNRESOLVED,0,0,False,False,False,False,False,NO_RXNORM_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0041,ALBENDAZOL,UNRESOLVED,0,0,False,False,False,False,False,PK_CAUTION_OR_DIALYSIS_ONLY_NO_DOSING_ACTION,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0044,ALIZAPRIDA,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0046,ALPRAZOLAM,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_RENAL_TEXT,CURRENT_SOURCE_REQUIRED
MED-0049,AMIODARONA,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0050,AMISULPRIDA,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0051,AMITRIPTILINA,UNRESOLVED,0,0,False,False,False,False,False,FALLBACK_SNIPPET_NOT_RENAL_DOSING_SECTION,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0055,ANAGRALIDA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0060,ARTEMETER,UNRESOLVED,0,0,False,False,False,False,False,SINGLE_INGREDIENT_MATCHED_COMBINATION_LABEL,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0061,ASCORBATO DE SODIO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0067,AZATIOPRINA,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0071,BELATACEPT,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,RENAL_TEXT_WITHOUT_EXPLICIT_DOSING_ACTION,CURRENT_SOURCE_REQUIRED
MED-0072,BENCIDAMINA,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0073,BENOXINATO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0074,BENZNIDAZOL,UNRESOLVED,0,0,False,False,False,False,False,PK_CAUTION_OR_DIALYSIS_ONLY_NO_DOSING_ACTION,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0075,BENZOCAINA,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0076,BETAHISTINA CLORHIDRATO,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0078,BICARBONATO DE SODIO,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0079,BICTEGRAVIR,UNRESOLVED,0,0,False,False,False,False,False,SINGLE_INGREDIENT_MATCHED_COMBINATION_LABEL,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0080,BILASTINA,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0081,BIPERIDENO CLORHIDRATO,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0082,BISACODILO,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0089,BROMAZEPAM,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0090,BROMHEXINA,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0091,BROMOPRIDA,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0092,BUCLIZINA,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0093,BUDESONIDA,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0103,CARBAMAZEPINA,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0104,CARBIDOPA,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_RENAL_TEXT,CURRENT_SOURCE_REQUIRED
MED-0105,CARBON ACTIVADO,UNRESOLVED,0,0,False,False,False,False,False,AMBIGUOUS_DAILYMED_MATCH,NO_OPENFDA_IDENTITY_CONFIRMED_LABEL,CURRENT_SOURCE_REQUIRED
MED-0106,CARBONATO DE CALCIO,UNRESOLVED,0,0,False,False,False,False,False,HIGH_MATCH_NO_EXPLICIT_RENAL_DOSING_TEXT,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0111,CEFDITOREN,UNRESOLVED,0,0,False,False,False,False,False,NO_DIRECT_RENAL_SECTION_TITLE,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
MED-0113,CEFRADINA,UNRESOLVED,0,0,False,False,False,False,False,RXNORM_MATCH_NO_DAILYMED_SPL,NO_OPENFDA_LABEL,CURRENT_SOURCE_REQUIRED
