med_id,principio_activo,reglas_pediatria,estado_pediatria,nivel_uso,escenarios
MED-0513,RUTINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0514,RUXOLITINIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0515,SACUBITRIL VALSARTAN,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0516,SAFINAMIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0517,SALMETEROL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0518,SECNIDAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0519,SELEXIPAG,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0520,SEMAGLUTIDA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0521,SERTRALINA,4,HABILITADO – ESPECIALISTA/MONITORIZACIÓN,ESPECIALISTA/MONITORIZACIÓN,TOC – inicio | TOC – rango terapéutico
MED-0522,SEVELAMER CLORHIDRATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0523,SILDENAFILO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0524,SILIMARINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0525,SILODOSINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0526,SIMETICONA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0527,SIMVASTATINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0528,SITAGLIPTINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0529,SOFOSBUVIR,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0530,SOLIFENACINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0531,SOMATOTROPINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0532,SORAFENIB,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0533,SOTALOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0534,SUBSALICILATO DE BISMUTO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0535,SUCRALFATO,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0536,SULBUTIAMINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0537,SULFADIAZINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0538,SULFADOXINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0539,SULFAMETIZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0540,SULFAMETOXAZOL,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
MED-0541,SULFASALAZINA,0,PENDIENTE DE REVISIÓN INDIVIDUAL,PENDIENTE,
